# 测试日期：2026-09-14；最近30天；全部地区；全部设备。列之间为制表符，可复制到表格。
# 搜索量为包含关键词的搜索次数，不是精确匹配量或独立人数；各行不可直接相加。
# 未返回不等于已确认的0。采用与人工备注列可自行填写；脚本不会据此自动生成筛选后的报告。
# 本次14次关键词请求预计费用：RUB 0.28（含税）或 USD 0.0022950816（未税），按合同币种；未核实账单。
# 关键词	搜索量	返回状态	采用（待定/是/否）	人工备注
gobroad глубокая стимуляция мозга	未返回	空响应 {}	待定	
gobroad онколитическая вирусная терапия	未返回	空响应 {}	待定	
gobroad онколитические вирусы	未返回	空响应 {}	待定	
gobroad онкохирургия	未返回	空响应 {}	待定	
gobroad органоиды опухоли	未返回	空响应 {}	待定	
gobroad повторная трансплантация костного мозга	未返回	空响应 {}	待定	
gobroad тест чувствительности к препаратам	未返回	空响应 {}	待定	
gobroad трансплантация костного мозга	未返回	空响应 {}	待定	
gobroad фокусированный ультразвук	未返回	空响应 {}	待定	
gobroad хирургическое лечение рака	未返回	空响应 {}	待定	
gobroad dbs	未返回	空响应 {}	待定	
gobroad mrgfus	未返回	空响应 {}	待定	
глубокая стимуляция мозга	470	有数据	待定	
трансплантация костного мозга	4873	有数据	待定	
