# 测试日期：2026-09-14；最近30天；全部地区；全部设备。列之间为制表符，可复制到表格。
# 搜索量为包含关键词的搜索次数，不是精确匹配量或独立人数；各行不可直接相加。
# 未返回不等于已确认的0。采用与人工备注列可自行填写；脚本不会据此自动生成筛选后的报告。
# 本次14次关键词请求预计费用：RUB 0.28（含税）或 USD 0.0022950816（未税），按合同币种；未核实账单。
# 保留所有热门词和关联词供人工筛选；关联词中有明显无关内容。热门词可能包含种子词本身。
# 关键词	搜索量	来源类型	来源种子词	采用（待定/是/否）	人工备注
глубокая стимуляция мозга	470	热门词	глубокая стимуляция мозга	待定	
dbs глубокая стимуляция мозга	98	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга при паркинсоне	49	热门词	глубокая стимуляция мозга	待定	
операция глубокой стимуляция мозга	49	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга при болезни паркинсона	37	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция головного мозга	33	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга ребенку	17	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга россии	16	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга при дцп	8	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга цена	8	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция головного мозга dbs	5	热门词	глубокая стимуляция мозга	待定	
глубокая стимуляция мозга при гипертенеззе	5	热门词	глубокая стимуляция мозга	待定	
стимулятор блуждающего нерва	2239	关联词	глубокая стимуляция мозга	待定	
акулы нейронных сетей генерация изображений	417	关联词	глубокая стимуляция мозга	待定	
акулы нейронных сетей генерация изображений по тексту	107	关联词	глубокая стимуляция мозга	待定	
стимулятор роста	16413	关联词	глубокая стимуляция мозга	待定	
таблетки для мозговой активности и памяти	374	关联词	глубокая стимуляция мозга	待定	
глубоко сосет большой член	1511	关联词	глубокая стимуляция мозга	待定	
что пропить для памяти и мозговой активности	314	关联词	глубокая стимуляция мозга	待定	
стимулятор блуждающего нерва что это	113	关联词	глубокая стимуляция мозга	待定	
ускоритель богомолова что это такое	98	关联词	глубокая стимуляция мозга	待定	
уколы для мозгового кровообращения и улучшения памяти	342	关联词	глубокая стимуляция мозга	待定	
как повысить дофамин в организме	627	关联词	глубокая стимуляция мозга	待定	
энмг стимуляционная	2584	关联词	глубокая стимуляция мозга	待定	
